pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092656N6	Ribosomal protein VAR1	451864	284590	Kluyveromyces lactis NRRL Y-1140	284590:000294	VAR1	Ribosomal protein VAR1, mitochondrial
EOG092656N6	Ribosomal protein VAR1	451864	284593	Candida glabrata CBS 138	284593:00027b	VAR1	Ribosomal protein VAR1, mitochondrial
EOG092656N6	Ribosomal protein VAR1	451864	284811	Eremothecium gossypii ATCC 10895	284811:0002ab	VAR1	Ribosomal protein VAR1, mitochondrial
EOG092656N6	Ribosomal protein VAR1	451864	307796	Saccharomyces cerevisiae YJM789	307796:000a1c	A7LCP0	Ribosomal protein VAR1
EOG092656N6	Ribosomal protein VAR1	451864	436907	Vanderwaltozyma polyspora DSM 70294	436907:0000c4	VAR1	Ribosomal protein VAR1, mitochondrial
EOG092656N6	Ribosomal protein VAR1	451864	559292	Saccharomyces cerevisiae S288c	559292:000dc7	VAR1	Ribosomal protein VAR1, mitochondrial
EOG092656N6	Ribosomal protein VAR1	451864	559295	Lachancea thermotolerans CBS 6340	559295:000564	Q5K457	Ribosomal protein VAR1
EOG092656N6	Ribosomal protein VAR1	451864	721032	Saccharomyces cerevisiae Kyokai no. 7	721032:000c8b	G2HKE9	Ribosomal protein VAR1
EOG092656N6	Ribosomal protein VAR1	451864	871575	Ogataea parapolymorpha DL-1	871575:000d57	E7E841	Ribosomal protein VAR1
EOG092656N6	Ribosomal protein VAR1	451864	981350	Komagataella pastoris CBS 7435	981350:000d45	F2R0K4	Ribosomal protein VAR1
EOG092656N6	Ribosomal protein VAR1	451864	1064592	Naumovozyma castellii CBS 4309	1064592:000008	VAR1	Ribosomal protein VAR1, mitochondrial
EOG09264T3S	Ribosomal protein L16	451864	214684	Cryptococcus neoformans var. neoformans JEC21	214684:001593	Q5KNV5	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	222929	Coccidioides posadasii C735 delta SOWgp	222929:00198e	C5PBR8	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	226230	Saccharomyces kudriavzevii IFO 1802	226230:000d66	YBL038W	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	227321	Aspergillus nidulans FGSC A4	227321:0023d2	C8V190	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	229533	Fusarium graminearum PH-1	229533:00039a	I1RA11	Ribosomal protein L10e/L16
EOG09264T3S	Ribosomal protein L16	451864	235443	Cryptococcus neoformans var. grubii H99	235443:0009fd	J9VEC1	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	237561	Candida albicans SC5314	237561:001862	MRPL16	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	237561	Candida albicans SC5314	237561:00185f	MRPL16	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	237631	Ustilago maydis 521	237631:000e09	Q4P2Y8	NA
EOG09264T3S	Ribosomal protein L16	451864	240176	Coprinopsis cinerea okayama7#130	240176:002b91	A8PCA4	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	242507	Magnaporthe oryzae 70-15	242507:000bbf	G4NAB6	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	246410	Coccidioides immitis RS	246410:001214	J3KFP2	NA
EOG09264T3S	Ribosomal protein L16	451864	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:000b6d	F5HD23	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	284590	Kluyveromyces lactis NRRL Y-1140	284590:000795	Q6CVG6	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	284591	Yarrowia lipolytica CLIB122	284591:0007df	Q6CBJ9	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	284592	Debaryomyces hansenii CBS767	284592:0010e8	Q6BR75	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	284593	Candida glabrata CBS 138	284593:000ab0	Q6FUD1	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	284811	Eremothecium gossypii ATCC 10895	284811:0008a8	Q75B76	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	284812	Schizosaccharomyces pombe 972h-	284812:000a25	mrpl16	54S ribosomal protein L16, mitochondrial
EOG09264T3S	Ribosomal protein L16	451864	285006	Saccharomyces cerevisiae RM11-1a	285006:000d07	B3LNH6	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	294746	Meyerozyma guilliermondii ATCC 6260	294746:001298	A5DPL0	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	294747	Candida tropicalis MYA-3404	294747:000989	C5M5N6	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	294748	Candida albicans WO-1	294748:0014f2	C4YJ69	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	306901	Chaetomium globosum CBS 148.51	306901:0012e0	Q2GNP0	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	306902	Clavispora lusitaniae ATCC 42720	306902:000c16	C4Y855	Similarity:Belongs to the ribosomal protein L16P family.
EOG09264T3S	Ribosomal protein L16	451864	307796	Saccharomyces cerevisiae YJM789	307796:000fc4	MRPL16	Similarity:Belongs to the ribosomal protein L16P family.
