# dvsaATG_highdiffw_outframe_JEC21.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans JEC21:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide -10 Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide -10 Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
CNI00340	0.665	0.953
CNC07140	0.664	0.912
CNE04530	0.757	0.98
CNN00160	0.721	0.93
CNN01750	0.759	0.953
CNG00500	0.736	0.928
CND01020	0.778	0.965
CNG02120	0.77	0.945
CND01650	0.727	0.902
CNF01580	0.724	0.898
CNE04770	0.673	0.829
CNC06190	0.837	0.994
CNC02170	0.819	0.974
CNG00490	0.8	0.954
CNL04270	0.704	0.855
CNJ00220	0.747	0.897
CNG01940	0.726	0.87
CNB05380	0.739	0.881
CNG00570	0.727	0.868
CNG02175	0.671	0.81
CNC03580	0.708	0.846
CNF03820	0.746	0.883
CNK02070	0.787	0.925
CNB05270	0.81	0.944
CNC04270	0.776	0.91
CND06330	0.767	0.901
CNE04610	0.749	0.879
CNC03925	0.811	0.941
CNI00160	0.645	0.773
CNK00690	0.781	0.909
CNJ03200	0.797	0.924
CNC05065	0.8	0.927
CND01860	0.772	0.896
CNI02680	0.75	0.874
CNL04750	0.767	0.888
CNK01150	0.768	0.89
CNC00845	0.71	0.831
CNM01000	0.814	0.933
CNB01540	0.709	0.827
CNF00905	0.851	0.969
CNN00870	0.763	0.879
CNE00800	0.775	0.89
CNA03250	0.75	0.864
CNC02405	0.846	0.957
CNE00575	0.766	0.877
CNA04340	0.782	0.893
CNA00020	0.786	0.897
CNF02990	0.843	0.952
CNA03360	0.769	0.878
CNK01350	0.717	0.825
CNC01780	0.829	0.937
CNA06530	0.748	0.855
CNG04090	0.718	0.825
CNC00705	0.757	0.864
