# dvsaATG_highdiffn_outframe_H99.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans H99:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow -4 Kozak consensus sequence
# d1.scorekn: 1st downstream ATG score against narrow -4 Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn
CNAG_06278	0.73	0.99
CNAG_04264	0.721	0.978
CNAG_04054	0.75	0.978
CNAG_03665	0.789	1
CNAG_06627	0.77	0.978
CNAG_01999	0.733	0.938
CNAG_06006	0.747	0.938
CNAG_03811	0.79	0.978
CNAG_06344	0.752	0.935
CNAG_07979	0.818	1
CNAG_01675	0.662	0.844
CNAG_01009	0.724	0.902
CNAG_02809	0.8	0.978
CNAG_03370	0.795	0.968
CNAG_03008	0.827	1
CNAG_06782	0.747	0.92
CNAG_01297	0.724	0.895
CNAG_04636	0.747	0.912
CNAG_07680	0.811	0.975
CNAG_07538	0.838	1
CNAG_03411	0.757	0.916
CNAG_02894	0.819	0.978
CNAG_02673	0.834	0.99
CNAG_01667	0.835	0.99
CNAG_00919	0.767	0.922
CNAG_03190	0.812	0.966
CNAG_04896	0.821	0.975
CNAG_00453	0.785	0.938
CNAG_07507	0.785	0.935
CNAG_03452	0.757	0.907
CNAG_05744	0.77	0.919
CNAG_05819	0.724	0.871
CNAG_00967	0.772	0.916
CNAG_04565	0.73	0.873
CNAG_06899	0.836	0.975
CNAG_00608	0.803	0.938
CNAG_02824	0.763	0.897
CNAG_01241	0.747	0.878
CNAG_03523	0.786	0.916
CNAG_01626	0.73	0.861
CNAG_00402	0.809	0.938
CNAG_07780	0.871	1
CNAG_03686	0.84	0.968
CNAG_01270	0.662	0.789
CNAG_06508	0.849	0.975
CNAG_02578	0.818	0.944
CNAG_04334	0.77	0.895
CNAG_03871	0.787	0.911
CNAG_05567	0.772	0.896
CNAG_03877	0.807	0.929
CNAG_05086	0.856	0.978
CNAG_03839	0.817	0.938
