# dvsaATG_highdiffw_inframe_cc.txt
# Genes with conserved in-frame high-score dATGs
# In both H99 and JEC21:
#   - aATG.scorekw - d1.scorekw < 0.1 (big difference)
#   - in top 50% by RNA abundance
#   - dATG is IN frame with aATG
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# a.skw.xx: annotated AUG score against wide -10 Kozak consensus sequence, strain xx
# d.skw.xx: 1st downstream AUG score against wide -10 Kozak consensus sequence, strain xx
#
# Edward Wallace, Apr 2019
H99	JEC21	a.skw.H99	d.skw.H99	a.skw.JEC21	d.skw.JEC21
CNAG_05722	CNF02520	0.652	0.901	0.665	0.925
CNAG_00517	CNA04990	0.692	0.925	0.669	0.939
CNAG_02259	CNE02870	0.641	0.953	0.657	0.84
CNAG_06353	CNN00820	0.648	0.895	0.657	0.9
CNAG_07776	CNI00670	0.712	0.967	0.73	0.961
CNAG_03396	CNG01890	0.602	0.842	0.607	0.845
CNAG_04179	CNI03160	0.691	0.947	0.705	0.922
CNAG_07801	CNL06190	0.682	0.945	0.69	0.893
CNAG_00165	CNA01530	0.686	0.919	0.699	0.922
CNAG_03953	CNB04410	0.687	0.94	0.739	0.94
CNAG_01544	CNC06400	0.696	0.926	0.691	0.909
CNAG_02545	CNE00210	0.68	0.904	0.696	0.91
CNAG_07473	CNB01880	0.639	0.893	0.664	0.83
CNAG_04905	CNJ03280	0.795	0.989	0.786	0.991
CNAG_05900	CNF00730	0.775	0.975	0.785	0.975
CNAG_00589	CNA05725	0.743	0.888	0.721	0.967
CNAG_04219	CNI03610	0.748	0.949	0.758	0.945
CNAG_06713	CNB00900	0.749	0.962	0.754	0.929
CNAG_04017	CNB04990	0.75	0.935	0.743	0.94
CNAG_02880	CNC04930	0.676	0.877	0.692	0.867
CNAG_03679	CNB01775	0.799	0.912	0.661	0.912
CNAG_00086	CNA00760	0.729	0.898	0.744	0.935
CNAG_00026	CNA00190	0.71	0.914	0.71	0.859
CNAG_03578	CNG00290	0.668	0.843	0.68	0.857
CNAG_03996	CNB04810	0.671	0.85	0.655	0.826
CNAG_06755	CNB00480	0.648	0.841	0.652	0.803
CNAG_05090	CNL05290	0.751	0.889	0.737	0.94
CNAG_02431	CNE01260	0.712	0.91	0.72	0.857
CNAG_00562	CNA05440	0.704	0.855	0.695	0.873
CNAG_04082	CNB05640	0.735	0.876	0.733	0.911
CNAG_05226	CNL04030	0.714	0.868	0.699	0.863
CNAG_04604	CNJ00430	0.765	0.927	0.786	0.928
CNAG_03144	CNG04210	0.793	0.937	0.803	0.944
CNAG_02306	CNE02400	0.717	0.873	0.74	0.864
CNAG_00081	CNA00710	0.737	0.851	0.766	0.93
CNAG_06946	CND03800	0.77	0.905	0.765	0.906
CNAG_07873	CNH00360	0.75	0.896	0.767	0.896
CNAG_03682	CNB01800	0.816	0.952	0.813	0.95
CNAG_03949	CNB04360	0.694	0.837	0.688	0.814
CNAG_08016	CNM01220	0.82	0.923	0.79	0.941
CNAG_05827	CNF01530	0.749	0.852	0.747	0.897
CNAG_02851	CNC04680	0.761	0.89	0.767	0.886
CNAG_07354	CNA03210	0.775	0.883	0.776	0.903
CNAG_03958	CNB04460	0.777	0.891	0.78	0.899
CNAG_03385	CNG01990	0.706	0.83	0.717	0.825
CNAG_02356	CNE01940	0.84	0.951	0.842	0.946
CNAG_01005	CND01340	0.847	0.947	0.851	0.952
