# dvsaATG_highdiffw_inframe_JEC21.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans JEC21:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide -10 Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide -10 Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
CNI00690	0.631	0.913
CNA04990	0.669	0.939
CNF02520	0.665	0.925
CNB01775	0.661	0.912
CNG01740	0.717	0.963
CNA05725	0.721	0.967
CNN00820	0.657	0.9
CNG01890	0.607	0.845
CNB04570	0.721	0.954
CNI00670	0.73	0.961
CNA08150	0.685	0.914
CNA01530	0.699	0.922
CNG00840	0.701	0.923
CNM00950	0.751	0.971
CNC06400	0.691	0.909
CNI03160	0.705	0.922
CNE00210	0.696	0.91
CNJ03230	0.736	0.948
CNJ03280	0.786	0.991
CNL06190	0.69	0.893
CNL05290	0.737	0.94
CNB05680	0.679	0.882
CNB04410	0.739	0.94
CNK01910	0.687	0.884
CNB04990	0.743	0.94
CNJ01820	0.666	0.858
CNA00760	0.744	0.935
CNF00730	0.785	0.975
CNA05110	0.644	0.833
CNI03610	0.758	0.945
CNE02870	0.657	0.84
CNA05440	0.695	0.873
CNB05640	0.733	0.911
CNG00290	0.68	0.857
CNB03680	0.765	0.942
CNC04930	0.692	0.867
CNB00900	0.754	0.929
CNK00320	0.772	0.946
CNB04810	0.655	0.826
CNB01880	0.664	0.83
CNK01970	0.713	0.879
CNB04130	0.727	0.892
CNA00710	0.766	0.93
CNL04030	0.699	0.863
CNF02540	0.751	0.913
CNE05150	0.71	0.865
CNJ01910	0.778	0.932
CNB00480	0.652	0.803
CNM01220	0.79	0.941
CNC05950	0.751	0.902
CNF01530	0.747	0.897
CNA00190	0.71	0.859
CNH03800	0.702	0.851
CNL06075	0.741	0.886
CNC04860	0.719	0.863
CNJ00430	0.786	0.928
CNG04210	0.803	0.944
CND03800	0.765	0.906
CNB01800	0.813	0.95
CNE01260	0.72	0.857
CNH02505	0.656	0.791
CNA06000	0.796	0.93
CNN02250	0.773	0.906
CNI02540	0.741	0.873
CNM00130	0.747	0.878
CND02710	0.729	0.859
CNE02660	0.808	0.937
CNH00360	0.767	0.896
CNA03210	0.776	0.903
CNB04360	0.688	0.814
CNE02400	0.74	0.864
CNB04430	0.711	0.835
CNB04460	0.78	0.899
CNC04680	0.767	0.886
CNJ01900	0.775	0.893
CNB01360	0.837	0.954
CND04420	0.722	0.838
CNI02240	0.793	0.908
CNE04560	0.756	0.87
CNG00590	0.812	0.925
CNC00780	0.775	0.887
CNI01490	0.769	0.88
CNG01990	0.717	0.825
CND03560	0.796	0.902
CND01080	0.775	0.88
CNH01580	0.71	0.815
