# dvsaATG_highdiffw_outframe_H99.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans H99:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated AUG score against wide -10 Kozak consensus sequence
# d1.scorekw: 1st downstream AUG score against wide -10 Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
CNAG_06278	0.693	0.931
CNAG_03811	0.752	0.966
CNAG_03370	0.738	0.941
CNAG_06006	0.67	0.863
CNAG_06782	0.704	0.895
CNAG_01675	0.646	0.827
CNAG_06508	0.756	0.933
CNAG_07680	0.792	0.968
CNAG_00973	0.791	0.963
CNAG_01999	0.705	0.876
CNAG_00370	0.749	0.916
CNAG_03008	0.826	0.993
CNAG_04054	0.716	0.881
CNAG_04264	0.734	0.899
CNAG_07011	0.665	0.829
CNAG_01009	0.718	0.875
CNAG_03363	0.671	0.828
CNAG_00967	0.726	0.881
CNAG_03665	0.798	0.944
CNAG_02894	0.778	0.923
CNAG_00453	0.751	0.893
CNAG_07979	0.824	0.965
CNAG_02809	0.782	0.921
CNAG_01297	0.696	0.833
CNAG_07645	0.569	0.704
CNAG_00991	0.725	0.859
CNAG_04690	0.721	0.852
CNAG_04334	0.747	0.878
CNAG_04959	0.667	0.796
CNAG_05148	0.763	0.89
CNAG_04896	0.797	0.923
CNAG_04502	0.779	0.901
CNAG_02824	0.722	0.841
CNAG_04636	0.756	0.874
CNAG_03523	0.767	0.884
CNAG_04809	0.854	0.97
CNAG_05456	0.721	0.837
CNAG_06627	0.761	0.876
CNAG_00561	0.703	0.818
CNAG_03411	0.755	0.868
CNAG_07507	0.751	0.862
CNAG_06106	0.785	0.894
CNAG_02236	0.694	0.803
CNAG_04281	0.813	0.922
