# dvsaATG_highdiffw_outframe_Ca.txt
# Genes with in-frame high-score dATGs
# In C. albicans SC5314:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by mRNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
CR_01820W_A	0.711	0.954
CR_00410W_A	0.734	0.967
C1_04120C_A	0.698	0.911
C1_14480W_A	0.645	0.836
C1_00370W_A	0.785	0.972
C2_01510C_A	0.761	0.947
C4_02950C_A	0.761	0.942
C3_05550C_A	0.776	0.955
CR_08040W_A	0.72	0.895
C7_00060C_A	0.81	0.976
CR_07570W_A	0.782	0.947
C3_02410C_A	0.722	0.885
C2_06190W_A	0.761	0.922
C1_03750W_A	0.707	0.865
C5_04090C_A	0.686	0.84
C2_05780C_A	0.764	0.918
C6_02540C_A	0.675	0.829
C5_05350W_A	0.725	0.877
C5_05200C_A	0.769	0.919
C5_01000C_A	0.807	0.957
C1_08480C_A	0.835	0.983
C2_02150C_A	0.753	0.899
C2_09160W_A	0.701	0.847
C1_08220W_A	0.755	0.9
C3_01850W_A	0.803	0.946
C1_00220W_A	0.792	0.933
C2_06020W_A	0.737	0.878
C4_03690C_A	0.772	0.913
C2_02900W_A	0.769	0.906
CR_08930C_A	0.832	0.967
C2_09250W_A	0.755	0.887
C1_04600C_A	0.802	0.933
C1_02500W_A	0.772	0.902
CR_07470W_A	0.783	0.912
C6_04180W_A	0.686	0.815
C1_00080C_A	0.622	0.751
C2_05100C_A	0.776	0.903
C2_10810W_A	0.786	0.913
C1_08490W_A	0.831	0.957
C5_00640C_A	0.832	0.957
C3_06170C_A	0.832	0.958
C3_06350W_A	0.832	0.958
C4_00230W_A	0.679	0.803
C4_04590W_A	0.8	0.923
C2_01410C_A	0.847	0.967
C7_02650W_A	0.737	0.856
C4_05230C_A	0.832	0.951
C4_01970W_A	0.832	0.951
C1_00740C_A	0.81	0.929
C2_09750W_A	0.726	0.844
C7_00380W_A	0.777	0.895
C2_01730W_A	0.807	0.924
C3_01730C_A	0.804	0.921
C6_02590C_A	0.854	0.97
C1_02260C_A	0.852	0.968
C1_07690C_A	0.795	0.91
C4_03770W_A	0.792	0.907
C1_10380C_A	0.775	0.89
C1_00660C_A	0.716	0.83
C1_02920W_A	0.805	0.918
CR_10010C_A	0.771	0.884
C1_02510W_A	0.837	0.949
C1_07060C_A	0.794	0.906
C4_05460C_A	0.822	0.934
C7_03370C_A	0.821	0.933
CR_07340C_A	0.79	0.902
CR_08250C_A	0.874	0.984
C5_01090C_A	0.734	0.844
C2_01070W_A	0.704	0.814
C3_01030W_A	0.777	0.885
C6_04290W_A	0.761	0.869
CR_03010C_A	0.768	0.875
C4_00210W_A	0.769	0.877
C1_02880C_A	0.871	0.977
C1_10320W_A	0.796	0.901
C5_00180W_A	0.74	0.845
CR_01430W_A	0.732	0.837
C1_08420W_A	0.765	0.869
C5_01110W_A	0.773	0.876
C3_00240C_A	0.775	0.878
C1_05060W_A	0.742	0.845
CR_05750W_A	0.851	0.951
C2_03560C_A	0.821	0.92
C4_05670W_A	0.824	0.923
C2_04810W_A	0.753	0.852
CR_02690W_A	0.734	0.833
C4_05390W_A	0.783	0.881
CR_07640C_A	0.812	0.91
C2_05590C_A	0.775	0.873
C4_06830C_A	0.749	0.847
C4_02050W_A	0.813	0.91
C5_01880C_A	0.792	0.888
C5_02330W_A	0.807	0.902
C1_02930C_A	0.777	0.872
CR_09310W_A	0.838	0.933
C1_08650C_A	0.831	0.926
CR_02980C_A	0.699	0.793
C2_02460W_A	0.844	0.937
C4_03140C_A	0.807	0.899
CR_08030C_A	0.814	0.905
C1_09360C_A	0.845	0.936
C2_04270W_A	0.739	0.83
CR_04060C_A	0.862	0.953
C3_02210C_A	0.789	0.879
C1_03550C_A	0.738	0.829
C2_05470W_A	0.793	0.884
C2_03060W_A	0.765	0.855
C5_02410C_A	0.785	0.875
C5_00650C_A	0.749	0.838
C1_02320C_A	0.734	0.823
C2_02020W_A	0.844	0.933
