# dvsaATG_highdiffn_inframe_Ca.txt
# Genes with in-frame high-score dATGs
# In C. albicans SC5314:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by mRNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn
C5_00840W_A	0.691	1
C2_09260C_A	0.71	1
C3_03790W_A	0.725	1
C6_02410W_A	0.691	0.959
C1_08060W_A	0.75	1
C1_07700C_A	0.691	0.918
C1_00490C_A	0.774	0.998
C4_02340W_A	0.774	0.998
C2_10270W_A	0.738	0.959
C1_01040W_A	0.75	0.968
C7_02460C_A	0.738	0.952
C2_07940C_A	0.8	0.998
C6_01590W_A	0.804	1
CR_09580C_A	0.796	0.991
C4_01710C_A	0.733	0.926
C2_03930C_A	0.701	0.889
C1_06190C_A	0.759	0.945
C6_03720W_A	0.734	0.917
CR_04590C_A	0.819	1
C3_03940C_A	0.812	0.991
C1_00810W_A	0.781	0.959
CR_04300W_A	0.801	0.977
C5_04610W_A	0.774	0.945
C7_02810W_A	0.752	0.921
C2_03450W_A	0.824	0.991
C6_00110C_A	0.801	0.967
C4_05550C_A	0.841	1
C5_01520C_A	0.783	0.94
C3_02270W_A	0.805	0.954
C2_06640C_A	0.775	0.922
CR_02540W_A	0.824	0.968
C2_10690W_A	0.834	0.977
C4_07180W_A	0.783	0.926
C6_03820C_A	0.775	0.917
CR_01550C_A	0.82	0.959
CR_10680W_A	0.81	0.948
C6_04040C_A	0.775	0.912
C1_07200W_A	0.812	0.948
CR_10470C_A	0.815	0.942
C1_10030W_A	0.815	0.94
CR_06820W_A	0.783	0.904
C1_05300C_A	0.847	0.968
CR_10040W_A	0.848	0.968
C1_13030C_A	0.775	0.894
C1_03540C_A	0.791	0.91
C3_06490W_A	0.853	0.968
C7_01390W_A	0.758	0.873
C2_02640C_A	0.765	0.878
C2_02950W_A	0.765	0.878
CR_01060W_A	0.856	0.967
C5_01940W_A	0.718	0.829
CR_02020C_A	0.894	1
